"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理","合計"
"","為替差益","","702460","6836771","2341883","2441257","144595","0","64273","86119","1062577","0","2855433","273","684","16536325"
"","","CoinCheck","556163","3845663","2294518","0","0","0","0","0","1062577","0","2855433","0","0","10614354"
"","","bit flyer","0","0","0","0","0","0","0","0","0","0","0","0","684","684"
"","","TAOTAO","0","2991108","47365","0","25005","0","0","0","0","0","0","0","0","3063478"
"","","Bybit","146297","0","0","2441257","119590","0","64273","86119","0","0","0","273","0","2857809"
"営業外収益合計","","","702460","6836772","2342032","2441258","144599","1","64274","86120","1064462","23","2855477","301","699","16538478"
"営業外費用"
"","支払利息","","0","0","0","0","0","0","0","100323","33814","33720","33627","0","0","201484"
"","","七十七銀行_ライオンズタワー広瀬ローン","0","0","0","0","0","0","0","100323","33814","33720","33627","0","0","201484"
"","有価証券売却損","","0","0","0","0","0","0","0","0","0","0","0","18603","0","18603"
"","為替差損","","0","8716854","2435128","2986879","0","344578","0","0","1140277","61832","2502092","0","2315","18189955"
"","","QUOINEX","0","0","0","0","0","0","0","0","0","0","0","0","2301","2301"
"","","CoinCheck","0","0","0","0","0","0","0","0","0","49664","0","0","0","49664"
"","","bit flyer","0","0","0","0","0","0","0","0","0","0","0","0","13","13"
"","","zaif","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"","","TAOTAO","0","0","0","2986879","0","0","0","0","0","0","0","0","0","2986879"
"","","Bybit","0","8716854","2435128","0","0","344578","0","0","1140277","12168","2502092","0","0","15151097"
"営業外費用合計","","","0","8716854","2435128","2986879","0","344578","0","100323","1174091","95552","2535719","18603","2315","18410042"
"経常利益","","","347777","-1980577","-947018","-1229181","-28736","-983377","55464","-493973","-291072","-334830","566817","193980","-1136198","-6260924"
"特別利益"
"特別利益合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失"
"特別損失合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益"
"税引前当期純利益","","","347777","-1980577","-947018","-1229181","-28736","-983377","55464","-493973","-291072","-334830","566817","193980","-1136198","-6260924"
"","法人税等","","0","0","0","0","0","0","0","252900","0","0","0","0","-180885","72015"
"当期純利益","","","347777","-1980577","-947018","-1229181","-28736","-983377","55464","-746873","-291072","-334830","566817","193980","-955313","-6332939"
